Survey Question,Variable Name (clean_df.csv),Data Type,
RespondentID,RespondentID,Numeric,
Have you seen any of the 6 films in the Star Wars franchise?,Seen_any,Character,
Do you consider yourself to be a fan of the Star Wars film franchise?,StarWars_fan,Character,
Which of the following Star Wars films have you seen? Please select all that apply. (Star Wars: Episode I),Seen_Ep_I,Binary,
Which of the following Star Wars films have you seen? Please select all that apply. (Star Wars: Episode II),Seen_Ep_II,Binary,
Which of the following Star Wars films have you seen? Please select all that apply. (Star Wars: Episode III),Seen_Ep_III,Binary,
Which of the following Star Wars films have you seen? Please select all that apply. (Star Wars: Episode IV),Seen_Ep_IV,Binary,
Which of the following Star Wars films have you seen? Please select all that apply. (Star Wars: Episode V),Seen_Ep_V,Binary,
Which of the following Star Wars films have you seen? Please select all that apply. (Star Wars: Episode VI),Seen_Ep_VI,Binary,
Please rank the Star Wars films in order of preference with 1 being your favorite film in the franchise and 6 being your least favorite film. (Star Wars: Episode I),Rank_Ep_I,Numeric,
Please rank the Star Wars films in order of preference with 1 being your favorite film in the franchise and 6 being your least favorite film. (Star Wars: Episode II),Rank_Ep_II,Numeric,
Please rank the Star Wars films in order of preference with 1 being your favorite film in the franchise and 6 being your least favorite film. (Star Wars: Episode III),Rank_Ep_III,Numeric,
Please rank the Star Wars films in order of preference with 1 being your favorite film in the franchise and 6 being your least favorite film. (Star Wars: Episode IV),Rank_Ep_IV,Numeric,
Please rank the Star Wars films in order of preference with 1 being your favorite film in the franchise and 6 being your least favorite film. (Star Wars: Episode V),Rank_Ep_V,Numeric,
Please rank the Star Wars films in order of preference with 1 being your favorite film in the franchise and 6 being your least favorite film. (Star Wars: Episode VI),Rank_Ep_VI,Numeric,
"Please state whether you view the following characters favorably, unfavorably, or are unfamiliar with him/her. (Han Solo)",HanSolo,Character,
"Please state whether you view the following characters favorably, unfavorably, or are unfamiliar with him/her. (Luke Skywalker)",LukeSkywalker,Character,
"Please state whether you view the following characters favorably, unfavorably, or are unfamiliar with him/her. (Princess Leia Organa)",PrincessLeiaOrgana,Character,
"Please state whether you view the following characters favorably, unfavorably, or are unfamiliar with him/her. (Anakin Skywalker)",AnakinSkywalker,Character,
"Please state whether you view the following characters favorably, unfavorably, or are unfamiliar with him/her. (Obi Wan Kenobi)",ObiWanKenobi,Character,
"Please state whether you view the following characters favorably, unfavorably, or are unfamiliar with him/her. (Emperor Palpatine)",EmperorPalpatine,Character,
"Please state whether you view the following characters favorably, unfavorably, or are unfamiliar with him/her. (Darth Vader)",DarthVader,Character,
"Please state whether you view the following characters favorably, unfavorably, or are unfamiliar with him/her. (Lando Calrissian)",LandoCalrissian,Character,
"Please state whether you view the following characters favorably, unfavorably, or are unfamiliar with him/her. (Boba Fett)",BobaFett,Character,
"Please state whether you view the following characters favorably, unfavorably, or are unfamiliar with him/her. (C-3PO)",C-3P0,Character,
"Please state whether you view the following characters favorably, unfavorably, or are unfamiliar with him/her. (R2 D2)",R2D2,Character,
"Please state whether you view the following characters favorably, unfavorably, or are unfamiliar with him/her. (Jar Jar Binks)",JarJarBinks,Character,
"Please state whether you view the following characters favorably, unfavorably, or are unfamiliar with him/her. (Padme Amidala)",PadmeAmidala,Character,
"Please state whether you view the following characters favorably, unfavorably, or are unfamiliar with him/her. (Yoda)",Yoda,Character,
Which character shot first?,Which_character_shot_first,Character,
Are you familiar with the Expanded Universe?,Familiar_with_Expanded_Universe,Character,
Do you consider yourself to be a fan of the Expanded Universe?ξ,Expanded_Universe_fan,Character,
Do you consider yourself to be a fan of the Star Trek franchise?,StarTrek_fan,Character,
Gender,Gender,Character,
Age,Age,Character,
Household_Income,Household_Income,Character,
Education,Education,Character,
Location (Census Region),Location,Character,
